transaction_id,customer_id,transaction_amount,recovery_probability,priority_score,priority,recommended_channel,strategy,recovery_action,expected_recovery_value,reason,message,recovered,money_recovered,probability_bucket
txn_000003,cust_0390,22119.59,0.7182,0.7363,MEDIUM,sms,standard_recovery,payment_reminder,15886.29,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! We noticed that your payment of ₹22,119.59 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",1,22119.59,70-80%
txn_000007,cust_0557,12614.75,0.8537,0.8236,HIGH,whatsapp,aggressive_recovery,retry_payment,10769.21,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! Your payment of ₹12,614.75 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,12614.75,80-90%
txn_000011,cust_0403,40858.31,0.8767,0.9491,HIGH,sms,aggressive_recovery,payment_recovery,35820.48,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! We noticed an issue with your payment of ₹40,858.31. Please review your payment and try again.",0,0.0,80-90%
txn_000012,cust_0572,5850.98,0.7262,0.6518,MEDIUM,whatsapp,standard_recovery,checkout_reminder,4248.98,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! You were almost done with your purchase of ₹5,850.98. Complete your checkout whenever you're ready.

Reply to this message if you need help.",0,0.0,70-80%
txn_000014,cust_0470,11368.61,0.8653,0.9193,HIGH,sms,aggressive_recovery,retry_payment,9837.26,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your payment of ₹11,368.61 could not be completed. Please try the payment again using your preferred payment method.",1,11368.61,80-90%
txn_000016,cust_0128,48339.41,0.6493,0.8951,HIGH,sms,assisted_recovery,checkout_reminder,31386.78,"HIGH priority because of moderate recovery probability, high customer reliability, low recovery friction.","Hi! You were almost done with your purchase of ₹48,339.41. Complete your checkout whenever you're ready.",1,48339.41,60-70%
txn_000019,cust_0196,26946.7,0.6168,0.7345,MEDIUM,sms,standard_recovery,checkout_reminder,16620.72,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! You were almost done with your purchase of ₹26,946.70. Complete your checkout whenever you're ready.",0,0.0,60-70%
txn_000020,cust_0641,13687.45,0.8389,0.6276,MEDIUM,email,standard_recovery,subscription_reactivation,11482.4,"MEDIUM priority because of high recovery probability, high customer reliability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹13,687.45 needs attention. Please update your payment details to reactivate your subscription.",1,13687.45,80-90%
txn_000022,cust_0180,24682.47,0.7661,0.8621,HIGH,sms,assisted_recovery,subscription_reactivation,18909.24,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your subscription payment of ₹24,682.47 needs attention. Please update your payment details to reactivate your subscription.",1,24682.47,70-80%
txn_000024,cust_0196,30989.04,0.6532,0.7689,HIGH,email,assisted_recovery,subscription_reactivation,20242.04,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹30,989.04 needs attention. Please update your payment details to reactivate your subscription.",1,30989.04,60-70%
txn_000025,cust_0037,28881.04,0.6964,0.788,HIGH,email,assisted_recovery,checkout_reminder,20112.76,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹28,881.04. Complete your checkout whenever you're ready.",0,0.0,60-70%
txn_000027,cust_0733,39108.54,0.8708,0.892,HIGH,sms,aggressive_recovery,mandate_reactivation,34055.72,"HIGH priority because of high recovery probability, high customer reliability, low recovery friction.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,39108.54,80-90%
txn_000029,cust_0001,12833.37,0.692,0.6308,MEDIUM,email,standard_recovery,subscription_reactivation,8880.69,"MEDIUM priority because of moderate recovery probability, high customer reliability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹12,833.37 needs attention. Please update your payment details to reactivate your subscription.",0,0.0,60-70%
txn_000030,cust_0402,27889.05,0.845,0.9406,HIGH,email,aggressive_recovery,checkout_reminder,23566.25,"HIGH priority because of high recovery probability, high customer intent, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹27,889.05. Complete your checkout whenever you're ready.",1,27889.05,80-90%
txn_000034,cust_0051,45675.65,0.8194,1.0206,HIGH,sms,aggressive_recovery,payment_reminder,37426.63,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! We noticed that your payment of ₹45,675.65 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",1,45675.65,80-90%
txn_000036,cust_0759,31904.89,0.8463,0.9418,HIGH,whatsapp,aggressive_recovery,subscription_reactivation,27001.11,"HIGH priority because of high recovery probability, high customer intent, strong contactability.","Hi! Your subscription payment of ₹31,904.89 needs attention. Please update your payment details to reactivate your subscription.

Reply to this message if you need help.",1,31904.89,80-90%
txn_000037,cust_0696,29066.57,0.6357,0.718,MEDIUM,whatsapp,standard_recovery,retry_payment,18477.62,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! Your payment of ₹29,066.57 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,29066.57,60-70%
txn_000042,cust_0624,12368.79,0.8655,0.9087,HIGH,sms,aggressive_recovery,payment_recovery,10705.19,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! We noticed an issue with your payment of ₹12,368.79. Please review your payment and try again.",1,12368.79,80-90%
txn_000044,cust_0172,46614.31,0.8254,0.9757,HIGH,whatsapp,aggressive_recovery,mandate_reactivation,38475.45,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.

Reply to this message if you need help.",1,46614.31,80-90%
